
---------- Begin Simulation Statistics ----------
simSeconds                                   0.388239                       # Number of seconds simulated (Second)
simTicks                                 388238660000                       # Number of ticks simulated (Tick)
finalTick                                388238660000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3406.56                       # Real time elapsed on the host (Second)
hostTickRate                                113967980                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8537972                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000002                       # Number of instructions simulated (Count)
simOps                                     1000000033                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   293551                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     293551                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        776477321                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.776477                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.287868                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1382873182                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      275                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1285716423                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               10362346                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            382873322                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         219894512                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 117                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           776424398                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.655945                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.419086                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 232914639     30.00%     30.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 150197106     19.34%     49.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 156781697     20.19%     69.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 124167901     15.99%     85.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 112363055     14.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 4                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             776424398                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2265291     16.65%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      3      0.00%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      18      0.00%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     16.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     16.65% # attempts to use FU when none available (Count)
