
---------- Begin Simulation Statistics ----------
simSeconds                                   0.429942                       # Number of seconds simulated (Second)
simTicks                                 429941511000                       # Number of ticks simulated (Tick)
finalTick                                429941511000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3529.52                       # Real time elapsed on the host (Second)
hostTickRate                                121813069                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8553376                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000004                       # Number of instructions simulated (Count)
simOps                                     1000000085                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   283325                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     283325                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        859883795                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.859884                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.162948                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1365131053                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1040                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1302193239                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               18542076                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            365132006                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         194698658                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 241                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           854400122                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.524102                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.519374                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 335417269     39.26%     39.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 132261792     15.48%     54.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 137963997     16.15%     70.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 101024803     11.82%     82.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 147732261     17.29%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 4                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             854400122                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2845594     14.52%     14.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                1420785      7.25%     21.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 1493046      7.62%     29.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   868      0.00%     29.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  3105      0.02%     29.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  1040      0.01%     29.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 1588      0.01%     29.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc               360      0.00%     29.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                  1299      0.01%     29.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 1214      0.01%     29.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     29.44% # attempts to use FU when none available (Count)
