
---------- Begin Simulation Statistics ----------
simSeconds                                   0.266358                       # Number of seconds simulated (Second)
simTicks                                 266357775500                       # Number of ticks simulated (Tick)
finalTick                                266357775500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2638.81                       # Real time elapsed on the host (Second)
hostTickRate                                100938580                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8539064                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000000                       # Number of instructions simulated (Count)
simOps                                     1000000389                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   378959                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     378959                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        532715553                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.532716                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.877174                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1226860775                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12096                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1163576980                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               11119974                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            226872458                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         127072897                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 339                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           532632536                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.184577                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.409343                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 107292341     20.14%     20.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  54279441     10.19%     30.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 116615547     21.89%     52.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 141714383     26.61%     78.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 112730824     21.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 4                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             532632536                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                36195421     43.48%     43.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                4625639      5.56%     49.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 7090999      8.52%     57.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 22338      0.03%     57.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                252295      0.30%     57.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    12      0.00%     57.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 3779      0.00%     57.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             43598      0.05%     57.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                  4181      0.01%     57.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 4092      0.00%     57.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     57.95% # attempts to use FU when none available (Count)
