
---------- Begin Simulation Statistics ----------
simSeconds                                   1.501247                       # Number of seconds simulated (Second)
simTicks                                 1501247254500                       # Number of ticks simulated (Tick)
finalTick                                1501247254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7295.49                       # Real time elapsed on the host (Second)
hostTickRate                                205777325                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     749600                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1000210521                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   137071                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     137100                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       3002494510                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.002495                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.333056                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2050761405                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   847241                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1852719713                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               78635146                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           1051398104                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         932785204                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4769                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3002443120                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.617071                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.187264                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2193055811     73.04%     73.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 288748723      9.62%     82.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 193303987      6.44%     89.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 131975380      4.40%     93.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 195359219      6.51%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 4                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            3002443120                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      35    100.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%    100.00% # attempts to use FU when none available (Count)
